COW,Religiosity_Wave_7,Religiosity_Wave_6,Religiosity_Wave_5,Religiosity_Wave_4,Religiosity_Wave_3,Religiosity_Wave_2,Country,HDI_Wave_2,HDI_Wave_3,HDI_Wave_4,HDI_Wave_5,HDI_Wave_6,HDI_Wave_7,Life_Expectancy_Index_Wave_2,Life_Expectancy_Index_Wave_3,Life_Expectancy_Index_Wave_4,Life_Expectancy_Index_Wave_5,Life_Expectancy_Index_Wave_6,Life_Expectancy_Index_Wave_7,Education_Index_Wave_2,Education_Index_Wave_3,Education_Index_Wave_4,Education_Index_Wave_5,Education_Index_Wave_6,Education_Index_Wave_7,Income_Index_Wave_2,Income_Index_Wave_3,Income_Index_Wave_4,Income_Index_Wave_5,Income_Index_Wave_6,Income_Index_Wave_7,Religiosity_Index_7,Religiosity_Index_6,Religiosity_Index_5,Religiosity_Index_4,Religiosity_Index_3,Religiosity_Index_2
339, , , ,1.6349169436022,1.53665028931772, ,Albania,.6262,.64084,.685833333,.7272,.78025,.800142857,.825559077,.837875769,.858035897,.881292308,.894221231,.897735824,.559566061,.562185037,.603006731,.652197029,.75464412,.797107502,3732.05,4769.2,6720.82063,9305.500559,11218.11932,13031.28009, , , ,2.6349169436022,2.53665028931772, 
615, ,2.36581425910604, ,2.40455919809409, , ,Algeria,.5974,.61548,.6595,.6982,.7305,.743,.732127692,.749326538,.783617692,.810944,.836489846,.858166813,.467551247,.505919606,.566210356,.62803131,.687744309,.706828808,8028.78,7865.48,8911.324227,10422.35527,11050.11176,11229.65368, ,3.36581425910604, ,3.40455919809409, , 
232,.824929574357335, ,.846973704364607, , , ,Andorra, , ,.8298,.8452,.86325,.865285714,.916960615,.92179,.949137436,.962572,.967730154,.954480879, , ,.642278313,.665326431,.717430843,.7346488,41778.59,43090.41,50612.20347,54108.68143,47843.58616,51692.64084,1.82492957435733, ,1.84697370436461, , , 
160,1.48311357247594,1.5394674350079,1.76192416947264,1.91144817057771,1.76672868124965,1.68513339077256,Argentina,.7342,.74964,.785333333,.817,.84375,.847142857,.806982462,.819244231,.833787949,.852781846,.866330462,.869157802,.668391526,.691958765,.787822887,.828377421,.870117216,.89771735,15869.99,18321.58,16785.52224,20543.67491,23448.02494,21775.11373,2.48311357247594,2.5394674350079,2.76192416947264,2.91144817057771,2.76672868124965,2.68513339077256
371,2.0916594213691,2.03236171548948, , ,1.55349083243117, ,Armenia,.6318,.63716,.6735,.7298,.75725,.766285714,.750783385,.767375385,.783810513,.804052615,.823544,.832362857,.635134039,.636874992,.66219193,.711737406,.750642578,.75005344,3579.87,3451.85,5125.829744,9489.12925,10703.80403,12611.40871,3.0916594213691,3.03236171548948, , ,2.55349083243117, 
900,.877659364370798,.914966785933026,1.15163569839468, ,1.22638263687012, ,Australia,.8694,.88268,.901,.916,.929,.940714286,.885752308,.901039615,.923597179,.944246462,.959095385,.975547253,.895155345,.974484261,1.016297888,1.055253965,1.091023403,1.071700066,30072.46,33968.86,38761.75572,42126.24225,44607.28875,47295.35649,1.8776593643708,1.91496678593303,2.15163569839468, ,2.22638263687012, 
373, ,1.91536482702525, , ,1.8669167364657, ,Azerbaijan, , ,.636833333,.7016,.73725,.749142857,.641784308,.659463846,.704952308,.746145231,.774984923,.786371429, ,.611856793,.640393215,.678367346,.701541436,.734146224,5725.95,3136.78,4481.976772,9779.928024,13631.80276,13794.39544, ,2.91536482702525, , ,2.8669167364657, 
771,2.66530197507977, , ,2.62062615933397,2.70566155595838, ,Bangladesh,.4102,.44144,.4955,.528,.5725,.633,.567144,.631936154,.714784359,.725257538,.758621538,.798002857,.307619467,.345608188,.390353743,.43048875,.480925925,.578329948,1625.03,1812.27,2094.828363,2693.287721,3441.935485,4658.03232,3.66530197507977, , ,3.62062615933397,3.70566155595838, 
370, ,1.44795863165534, , ,1.40572873026091,.874640094584663,Belarus, , ,.720333333,.7706,.80575,.813142857,.759765231,.749963846,.751917949,.775944,.805618769,.827323297, ,.70782314,.752212711,.812294754,.842187894,.846466988,7868.29,6425.96,8913.865726,14210.33823,17945.6006,18060.32602, ,2.44795863165534, , ,2.40572873026091,1.87464009458466
145,2.14660714593843, , , , , ,Bolivia,.5686,.60552,.629666667,.6456,.677,.702285714,.580168,.621927692,.661551538,.693900923,.718721846,.717216484,.588537114,.671772312,.668849648,.669287596,.703915974,.756011896,4567.25,5119.21,5288.904537,5879.965608,6737.323912,8114.71211,3.14660714593843, , , , , 
346, , , ,1.68049347486639,1.75818524638771, ,Bosnia and Herzegovina, , ,.6774,.7072,.746,.774714286,.661385846,.812698462,.849124872,.866590462,.871569846,.869856264, , ,.574179675,.615682205,.685846231,.737844447, ,4660.42,8638.67554,10642.45662,11554.94803,14049.85576, , , ,2.68049347486639,2.75818524638771, 
140,2.05344782922125,2.22313339362573,2.29832143590068, ,2.33186018792201,2.16702408245497,Brazil,.6232,.64964,.684666667,.7068,.741,.758428571,.719016,.747420769,.773632564,.805598769,.825542462,.836939121,.532463129,.581404423,.629495175,.634778282,.681583512,.738184613,10264.15,11039.54,11336.57967,13106.81469,15093.45832,14280.42062,3.05344782922125,3.22313339362573,3.29832143590068, ,3.33186018792201,3.16702408245497
355, , ,1.32488114358226, ,1.15417296471559, ,Bulgaria,.6868,.70396,.737333333,.774,.801,.806,.787463385,.781306538,.800766154,.816678462,.836039385,.834438022,.603181509,.660308499,.710888348,.75411983,.792135265,.789754815,11102.7,11127.32,11988.85447,16536.15715,18825.91711,21533.52784, , ,2.32488114358226, ,2.15417296471559, 
439, , ,2.44706616090693, , , ,Burkina Faso, , ,.3035,.3426,.39725,.440285714,.451825846,.455580769,.481343333,.5308,.576622769,.608337582, , ,.161018188,.206560895,.276230795,.349548996,1048.3,1173.89,1358.27134,1583.109022,1764.860175,1994.675601, , ,3.44706616090693, , , 
20,.858245585430283, ,1.55083949683079,1.59256120598493, , ,Canada,.866,.876,.893,.9074,.921,.931714286,.887675692,.897801923,.915154103,.932446154,.948476923,.956273407,.876532199,.88389721,.877246248,.879499471,.894670082,.923279058,31545.51,34020.62,39634.73361,44830.30045,46205.04755,46989.63437,1.85824558543028, ,2.55083949683079,2.59256120598493, , 
155,1.29767046378294,1.62208549325953,1.88004788745004,2.00336099399396,1.98083957643699,1.99998011984055,Chile,.7164,.73448,.771166667,.8032,.8295,.853285714,.827977538,.849125385,.877197436,.896392923,.909065846,.920781538,.64581496,.65613751,.707961008,.762187862,.795451229,.849398753,10823.41,13985.3,15593.05553,18108.09188,21730.60856,23686.49989,2.29767046378294,2.62208549325953,2.88004788745004,3.00336099399396,2.98083957643699,2.99998011984055
710,.384479906050957,.544038014728609,.955862136117941,1.64064845969993,1.440304429379,.0627103653476526,China,.504,.5404,.599166667,.661,.71275,.752714286,.749676923,.777376923,.810281282,.841821538,.864197538,.886685934,.417199601,.451157939,.503815355,.569805906,.620313162,.672867814,1801.37,2671,3904.183385,6718.491963,10332.34894,14973.7763,1.38447990605096,1.54403801472861,1.95586213611794,2.64064845969993,2.440304429379,.937289634652347
100,2.12291086191158,2.31187154933012,2.26423588975145, ,2.09294366739981, ,Colombia,.6264,.64988,.671,.7084,.74075,.759,.755230154,.774425769,.796775385,.828995077,.854828308,.858182857,.514104528,.556796172,.585617835,.642597733,.681335081,.716704618,8310.48,9292.14,8975.667713,10604.54402,12391.37246,13944.261,3.12291086191158,3.31187154933012,3.26423588975145, ,3.09294366739981, 
344, , , , ,1.47067937589394, ,Croatia, , ,.772166667,.8122,.83375,.853285714,.807528,.826343462,.841523846,.861103692,.883579077,.893437363,.554456301,.620694064,.701795913,.768202948,.807663745,.838811687, ,16570.75,19789.92115,24558.2328,23578.05442,27238.78421, , , , ,2.47067937589394, 
352,1.84036503092158,1.96032075661189,1.93995560762959, , , ,Cyprus,.7392,.77504,.811,.8484,.86175,.887714286,.833236,.856455769,.879667692,.903580615,.925986769,.94224967,.601244173,.678731304,.711149275,.770157183,.790091667,.848402584,25694.56,28225.53,32061.08959,37617.40538,35388.61912,37038.5661,2.84036503092158,2.96032075661189,2.93995560762959, , , 
316, , , , ,.790560941937619,.995406336439015,Czech Republic,.748,.7758,.819,.8566,.8785,.893571429,.805058154,.828891538,.850819744,.874539077,.893322462,.903478022,.660931624,.722014614,.787682366,.84669213,.891326777,.905091069,20492.24,22642.22,25603.98104,30995.68179,31195.56468,36827.83034, , , , ,1.79056094193762,1.99540633643902
42, , , , ,2.21662086960327, ,Dominician Republic, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.21662086960327, 
130,2.1743224636651,2.26102812027654, , , , ,Ecuador,.658,.6732,.695666667,.7236,.75225,.754571429,.769822769,.792805,.821563077,.843738462,.862232923,.858768352,.587676923,.616080341,.650597348,.687784007,.722077251,.738495299,7966.82,8352.61,8093.688244,9571.949878,11157.19574,10998.10172,3.1743224636651,3.26102812027654, , , , 
651,2.53856411651353,2.14684134370537,2.54407297318898,2.53043769328876, , ,Egypt,.5848,.60916,.635833333,.6552,.69,.724142857,.692968923,.722005385,.742644359,.755946154,.769527077,.783657363,.489635593,.530082279,.551409913,.570840436,.630145486,.705008699,6151.62,6847.63,7879.41221,9295.268536,10067.78444,11079.63565,3.53856411651353,3.14684134370537,3.54407297318898,3.53043769328876, , 
92, , , , ,2.39438299722516, ,El Salvador,.547,.5828,.623,.6488,.6645,.674714286,.683498154,.729920385,.768089487,.785602462,.797093846,.79796022,.432284446,.490237554,.536321172,.579730567,.597750632,.613639327,5500.69,6244.53,6458.591221,6985.245747,7420.459364,7993.995113, , , , ,3.39438299722516, 
366, ,.956840504856609, , ,.941466804375512, ,Estonia,.7204,.74168,.801,.8502,.876,.889,.754927692,.768536923,.796244872,.830416308,.870860923,.891753626,.70431696,.763993232,.856284293,.904017415,.920143669,.908994196,11510.4,11982,16315.10107,25000.6292,26940.60943,34086.94232, ,1.95684050485661, , ,1.94146680437551, 
530,2.71599437144945, ,2.33740176426372, , , ,Ethiopia, , ,.3074,.3772,.43575,.484714286,.408748615,.448716154,.482794103,.559938154,.637759077,.691151868, , ,.208933148,.305828813,.34514195,.395227326,669.64,711.07,742.1477894,1008.024835,1448.584291,2087.020925,3.71599437144945, ,3.33740176426372, , , 
375, , ,1.29889435518464, ,1.23765434080216, ,Finland,.8254,.85248,.8975,.9088,.92075,.935428571,.856932308,.876141154,.894649487,.914648923,.931691077,.948588791,.79317686,.85048808,.916451423,.909158233,.944786963,.99635911,31763.21,35530.89,43077.89497,47244.19582,45541.01362,47770.66461, , ,2.29889435518464, ,2.23765434080216, 
220, , ,.911858833897356, , , ,France,.8056,.82932,.848,.8708,.8855,.898857143,.880798154,.895948077,.913318974,.936251077,.952327692,.96072022,.716770053,.76908308,.764080423,.795843159,.814448829,.841928369,34303.08,36413.39,40558.30863,42794.24326,43176.06381,45261.95694, , ,1.91185883389736, , , 
372, ,2.37257841435392,2.37829338724389, ,1.87484467574907, ,Georgia, , ,.7148,.7468,.775,.800285714,.740388615,.753788077,.767757949,.79192,.808177231,.816938022, , ,.776523124,.788593253,.810950603,.861781161,6129.28,4026.23,5739.660297,8651.744724,10940.64455,13378.1001, ,3.37257841435392,3.37829338724389, ,2.87484467574907, 
255,.992136339105713,1.06151620144706,1.00848727096053, ,.8224, ,Germany,.8432,.86544,.898166667,.9196,.93375,.943142857,.859822769,.877526154,.898543846,.917983077,.930248,.938182198,.805114588,.855054055,.898777907,.928794803,.943620766,.956326784,37933.37,40034.55,42789.62296,46223.58759,49873.84322,54006.34538,1.99213633910571,2.06151620144706,2.00848727096053, ,1.8224, 
452, ,2.64159848434589,2.6683899670781, , , ,Ghana,.4696,.48572,.510333333,.55,.59425,.621285714,.555049538,.569940385,.592929487,.619719077,.647244615,.676593407,.393644379,.422469279,.445938111,.516603486,.578989593,.61640027,2443.74,2597.39,2861.07176,3381.203618,4268.5198,5124.148011, ,3.64159848434589,3.6683899670781, , , 
350,1.91288081015245, , , , , ,Greece,.768,.783,.823166667,.861,.87025,.883571429,.884320615,.893569231,.904744872,.920792615,.933473231,.937008352,.645366486,.675990237,.74656783,.819122261,.862500566,.948520853,24792.18,25686.91,29950.39371,34825.54361,28824.40878,28316.73524,2.91288081015245, , , , , 
90,2.08882221959448, ,2.53517401549605, , , ,Guatemala,.4924,.51508,.557666667,.5882,.621,.637428571,.662113846,.695030769,.740023333,.769468,.791415385,.799772747,.315386794,.347545058,.399724669,.447316842,.489376291,.513395842,5640.39,6078.95,6470.72413,6985.54759,7436.411295,8265.41107,3.08882221959448, ,3.53517401549605, , , 
41, ,1.69616355087016, , , , ,Haiti,.4334,.44848,.474166667,.4988,.51875,.537,.520650769,.559048846,.593976667,.631860308,.601615077,.672529231,.325242951,.348416785,.376215095,.405598792,.434586667,.467628571,3199.04,2911.86,2896.887269,2963.997304,3008.530167,3064.10279, ,2.69616355087016, , , , 
714,.808429894168042,.833460721890332,1.00335491499184, , , ,Hong Kong SAR,.8028,.82696,.8575,.8918,.9215,.945571429,.893057846,.917324615,.938698718,.956812308,.977441846,.999815165,.696121879,.733986771,.772677678,.815294642,.855761269,.901093928,30668.62,35239.29,37477.71461,48807.49731,55149.15101,61199.46641,1.80842989416804,1.83346072189033,2.00335491499184, , , 
310, , ,1.16144229252955, ,1.11814577032123, ,Hungary,.7204,.74028,.784666667,.817,.83475,.846142857,.759273846,.778800769,.802869744,.823931692,.849696923,.858748132,.653303437,.70513969,.775253542,.822867697,.841785112,.838780178,16399.8,16631.54,20103.6554,23807.72917,24150.2161,29511.99721, , ,2.16144229252955, ,2.11814577032123, 
750, ,2.37501967326174,1.99150160180259,1.95458054045451,2.00275507588069,2.02691158335779,India,.4422,.46304,.502833333,.551,.603,.639571429,.606737538,.633691538,.667184872,.704179692,.737502154,.767536703,.35210414,.3718159,.406534878,.469403356,.533600133,.578362414,1847.79,2219.45,2713.658925,3585.579172,4578.901762,6149.596965, ,3.37501967326174,2.99150160180259,2.95458054045451,3.00275507588069,3.02691158335779
850,2.6970602335919, ,2.60815830307464,2.72219182631004, , ,Indonesia,.5408,.57236,.606833333,.6434,.67975,.705428571,.677841538,.701106538,.717200513,.739915692,.754684615,.761903297,.431696992,.483534915,.536202799,.584637817,.63544513,.681305866,4779.71,5843.97,5658.70511,7020.628,8790.48336,10813.34091,3.6970602335919, ,3.60815830307464,3.72219182631004, , 
630,2.24647661852156, ,2.33612199560342,2.45569567485805, , ,Iran,.6244,.65148,.695333333,.73,.766,.781714286,.714490154,.742089231,.770722308,.806796308,.831278462,.852088132,.522751498,.577528966,.635433507,.671124041,.743696686,.783042239,9286.67,9543.13,10604.2622,12854.70915,13302.20559,13300.13306,3.24647661852156, ,3.33612199560342,3.45569567485805, , 
645,1.97696766835412,2.42865555005942,2.40285257607025,2.47212052721771, , ,Iraq,.5272,.54784,.591,.6146,.6615,.684571429,.680933231,.708376538,.712281026,.687297231,.738188923,.772378242,.420250235,.431077934,.472100751,.535928828,.580027504,.615379555,4172.81,5030.06,7117.863184,7768.208598,9462.464378,10312.29875,2.97696766835412,3.42865555005942,3.40285257607025,3.47212052721771, , 
666, , , ,1.94853814396674, , ,Israel,.7978,.81696,.85,.8798,.90175,.916428571,.880624,.894716538,.912819744,.935442154,.952447077,.96165956,.728257726,.760332209,.820715756,.864024387,.89011607,.903520331,22410.05,25956.14,27555.59108,30357.02799,33750.27783,39194.09498, , , ,2.94853814396674, , 
325, , ,1.89563657210858, , , ,Italy,.7898,.81376,.850166667,.8748,.88325,.890142857,.882673846,.900355385,.923138205,.945700615,.960611692,.96765956,.660792393,.710730569,.761857657,.808491461,.824536995,.83105573,36727.96,39767.83,43429.77698,43943.59113,40755.57201,41576.84344, , ,2.89563657210858, , , 
740,.763383982701225,.895666582693879,.852532213247371,.926785402313921,.870781433873605,.809074300523125,Japan,.852,.865,.8805,.8934,.907,.922285714,.913186154,.927813462,.946345641,.961708615,.971795692,.989783516,.771121727,.798206267,.814026715,.832648343,.856965119,.877450421,36381.98,37794.18,38514.73641,39761.73252,39620.48007,42508.54712,1.76338398270123,1.89566658269388,1.85253221324737,1.92678540231392,1.8707814338736,1.80907430052312
663,2.40065168541099,2.5000908977946,2.58837879419059,2.56227258860752, , ,Jordan,.6338,.65336,.688833333,.7264,.72,.721,.773783385,.787235,.803751026,.821052923,.836632615,.850521319,.537277338,.573882415,.620474155,.669999749,.643070851,.635283819,7602.24,8093.35,9301.306231,11495.7843,10639.80983,9956.93923,3.40065168541099,3.5000908977946,3.58837879419059,3.56227258860752, , 
705,1.80435105150205,1.43273177161534, , , , ,Kazakhstan,.6656,.66172,.7,.7536,.78725,.811285714,.682105538,.672604231,.682593077,.709700615,.757345846,.781214286,.627987648,.64950957,.713163878,.799079244,.814903626,.852615833,11496.2,9008.49,12020.62045,16707.27394,19655.8896,22789.43656,2.80435105150205,2.43273177161534, , , , 
501,2.45412146335735, , , , , ,Kenya,.473,.4762,.489,.5304,.5535,.573285714,.574671077,.538925385,.5394,.598185538,.633893231,.651117363,.372099903,.40190091,.432285577,.490758577,.519691417,.535823802,3250.05,3235.13,3169.866332,3375.861123,3414.068834,4183.867325,3.45412146335735, , , , , 
690, ,2.11128509567939, , , , ,Kuwait,.7028,.76376,.788166667,.8032,.822,.832285714,.845372308,.858426154,.873817436,.878133538,.904203385,.909985714,.445991989,.588635443,.609068855,.632539628,.662874576,.704057131,49334.48,75975.78,67296.17071,81640.99956,65968.8019,57433.24762, ,3.11128509567939, , , , 
703,2.03787993732017,1.85042175360112, ,1.71646404753098, , ,Kyrgyzstan,.6184,.60228,.630166667,.6546,.6775,.693714286,.677457846,.684239231,.705353077,.723699385,.753626462,.77455978,.640314738,.637441987,.694761178,.718444953,.732555649,.750786272,3960.31,2649.79,3080.902497,3754.721676,4167.482883,4697.960866,3.03787993732017,2.85042175360112, ,2.71646404753098, , 
367, , , , ,1.26613551681299, ,Latvia,.708,.714,.772166667,.8192,.83825,.862285714,.740215385,.747768077,.774701795,.792312308,.827711692,.843539341,.675476053,.710714313,.814379579,.870779834,.873434236,.901546834,12294.84,10055.11,13932.47509,22251.56113,23025.10621,29544.0075, , , , ,2.26613551681299, 
660,2.03028157988906,1.87219659007464, , , , ,Lebanon, , , ,.75,.7605,.738,.768942769,.807914615,.842101795,.876633538,.901310154,.901549451, , , ,.656781089,.649852913,.613417377,11760.85,14603.24,13738.36208,16069.66984,18014.85566,14105.90477,3.03028157988906,2.87219659007464, , , , 
620,2.51178866779164,2.38486393867904, , , , ,Libya,.6794,.69648,.718,.7388,.70775,.710571429,.771084308,.786853077,.785194359,.799392,.795517538,.803465055,.596502778,.640462883,.682492465,.683458365,.653698704,.637492484,15121.5,14118.81,14340.37648,18611.84485,13825.95178,13164.41638,3.51178866779164,3.38486393867904, , , , 
